Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
"there's warrant in that theft Which steals itself, when there's no mercy left. ",judiciary,economics,privation,,,,
"the heavens, as troubled with man's act, Threaten his bloody stage:",religion,suffering,humanity,danger__safety,theatre,violence,
dark night strangles the travelling lamp:,darkness,violence,geography,light,,,
"Is't night's predominance, or the day's shame,  ",darkness,astrology,light,emotions,,,
"darkness does the face of earth entomb, ",darkness,anatomy,nature,death,,,
When living light should kiss it?,life,light,affection,,,,
"unnatural, Even like the deed [murder] that's done.",nature,violence,,,,,
"[horses] Contending 'gainst obedience, as they would make War with mankind.",equestrian,violence,devotion,military,humanity,,
"Thriftless ambition, that wilt raven up Thine own life's means!",economics,character_traits__nature,food,life,,,
Lest our [regime] old robes sit easier than our new!,politics,clothes,feelings,,,,
Thou play'dst most foully for't [kingship]:,games__sports,ethics,politics,,,,
myself should be the root and father Of many kings.,nature,familial,politics,,,,
"If there come truth from them [witches] As upon thee, Macbeth, their speeches shine",language,mystical,light,,,,
"If he had been forgotten, It had been as a gap in our great feast, And all-thing unbecoming.",mental_faculty__state__entities,spatial,food,etiquette,,,
my duties Are with a most indissoluble tie For ever knit.,devotion,clothes,,,,,
I must become a borrower of the night For a dark hour or twain.,economics,darkness,time,,,,
our time does call upon 's.,time,commands,,,,,
Let every man be master of his time,men,social_status,time,,,,
To be thus [king] is nothing;,politics,privation,,,,,
Our fears in Banquo Stick deep;,emotions,violence,spatial,,,,
"My Genius is rebuked; as, it is said, Mark Antony's was by Caesar. ",mystical,etiquette,historical,,,,
prophet-like They [witches] hail'd him,religion,mystical,greetings,,,,
"Upon my head they placed a fruitless crown, put a barren sceptre in my gripe, Thence to be wrenched with an unlineal hand, No son of mine succeeding.",anatomy,architecture,politics,reproduction,violence,familial,
For Banquo's [enemy] issue have I filed my mind;,social_relations,familial,cleaning,mental_faculty__state__entities,,,
Put rancours in the vessel of my peace only for them [Banquo's [enemy] issue],feelings,food,politics,social_relations,familial,,
"mine eternal jewel Given to the common enemy of man [devil], ",time,economics,social_relations,humanity,religion,,
"come fate into the list, And champion me to th'utterance!",mystical,games__sports,social_relations,death,,,
"you were borne in hand, how cross'd;",labor,anatomy,deception,,,,
heavy hand hath bowed you to the grave and beggar'd yours for ever,weight,anatomy,social_relations,death,economics,time,
"in the catalogue ye go for men; As hounds and greyhounds, mongrels, spaniels, curs, Shoughs, water-rugs and demi-wolves, are clept All by the name of dogs",language,men,animals,,,,
every one [character trait] According to the gift which bounteous nature Hath in him closed;,character_traits__nature,economics,ethics,nature,spatial,,
"I will put that business in your bosoms, ",labor,anatomy,,,,,
"Grapples you to the heart and love of us,",adhesion,anatomy,emotions,,,,
"Who wear our health but sickly in his life, ",clothes,medicine,life,,,,
Which in his death were perfect [health].,death,medicine,,,,,
"tugg'd with fortune, ",violence,mystical,,,,,
every minute of his being thrusts Against my near'st of life:,time,violence,spatial,life,,,
Masking the business from the common eye,concealment,labor,social_status,anatomy,,,
Your spirits shine through you.,religion,light,,,,,
"I require a clearness: and with him, To leave no rubs nor botches in the work,",judiciary,preservation,hindrance,labor,,,
must embrace the fate Of that dark hour.,affection,mystical,darkness,time,,,
"thy soul's flight, If it find heaven, must find it out tonight.",religion,animals,discovering,darkness,,,
"Of sorriest fancies your companions making, Using those thoughts which should indeed have died With them they think on?",mental_faculty__state__entities,social_relations,death,,,,
"We have scortch'd the snake,",violence,animals,,,,,
our poor malice Remains in danger of her [snake] former tooth.,violence,danger__safety,animals,anatomy,,,
"better be with the dead, Whom we, to gain our peace, have sent to peace, Than on the torture of the mind to lie In restless ecstasy.",death,feelings,violence,mental_faculty__state__entities,sleep,,
Duncan is in his grave; After life's fitful fever he sleeps well;,death,medicine,life,sleep,,,
"Present him eminence, both with eye and tongue:",appearance,recognition,anatomy,,,,
"We Must lave our honours in these flattering streams, ",cleaning,social_status,recognition,nature,,,
"And make our faces vizards to our hearts, Disguising what they are.",anatomy,theatre,concealment,,,,
"full of scorpions is my mind, ",animals,mental_faculty__state__entities,,,,,
nature's copy's not eterne.,nature,judiciary,time,,,,
"The shard-born beetle with his drowsy hums Hath rung night's yawning peal,",anatomy,reproduction,animals,sleep,sounds,darkness,
"seeling night, Scarf up the tender eye of pitiful day",concealment,darkness,anatomy,character_traits__nature,time,,
with thy [the night's] bloody and invisible hand Cancel and tear to pieces that great bond Which keeps me pale!,darkness,violence,appearance,anatomy,judiciary,preservation,medicine
Good things of day begin to droop and drowse;,ethics,light,sleep,,,,
night's black agents to their preys do rouse.,darkness,colors,social_relations,hunting__fishing,sleep,,
[murderer] O slave!,violence,social_status,,,,,
the hearty welcome.,anatomy,greetings,,,,,
play the humble host.,theatre,character_traits__nature,social_relations,,,,
my heart speaks they are welcome.,anatomy,language,greetings,,,,
they encounter thee with their hearts' thanks.,social_relations,anatomy,recognition,,,,
"Then comes my fit again: I had else been perfect, Whole as the marble, founded as the rock,  As broad and general as the casing air:",medicine,character_traits__nature,materials,danger__safety,nature,spatial,
"I am cabined, cribbed, confined, bound in To saucy doubts and fears.",incarceration,derision__offense___contempt,mental_faculty__state__entities,emotions,,,
"There the grown serpent lies; the worm that's fled Hath nature that in time will venom breed, ",animals,death,danger__safety,character_traits__nature,time,violence,reproduction
[the worm has] No teeth for the present.,animals,anatomy,time,,,,
"the feast is sold That is not often vouch'd, ",food,economics,etiquette,,,,
"From thence, the sauce to meat is ceremony; ",food,etiquette,,,,,
" good digestion wait on appetite, And health on both!",food,social_relations,medicine,,,,
"had we now our country's honour roof'd, ",politics,social_status,architecture,,,,
The fit is momentary; upon a thought He will again be well:,medicine,time,mental_faculty__state__entities,,,,
This [imagining] is the very painting of your fear:,mental_faculty__state__entities,art,emotions,,,,
This [imagining] is the air-drawn dagger,mental_faculty__state__entities,nature,weapons__armor,,,,
"these flaws and starts, Imposters to true fear, ",nature,emotions,deception,,,,
"[these flaws and starts] would well become A woman's story at a winter's fire, Authorized by her grandam.",nature,emotions,etiquette,women,language,domestic,lifes_cycle
"If charnel-houses and our graves must send Those that we bury back,  our monuments Shall be the maws of kites.",death,architecture,anatomy,animals,,,
quite unmanned in folly,men,mental_faculty__state__entities,,,,,
"Blood hath been shed ere now, i' the olden time, Ere humane statute purged the gentle weal;",anatomy,violence,time,humanity,judiciary,medicine,politics
murders have been perform'd Too terrible for the ear:,violence,emotions,anatomy,,,,
"I have a strange infirmity, which is nothing",mental_faculty__state__entities,medicine,privation,,,,
let the earth hide thee [ghost]!,nature,concealment,mystical,,,,
"Approach thou [ghost] like the rugged Russian bear, The arm'd rhinoceros, or the Hyrcan tiger;",movement,mystical,ethnicity__nationality,animals,weapons__armor,,
my firm nerves Shall never tremble:,anatomy,time,emotions,,,,
"If trembling I inhabit then, protest me The baby of a girl.",emotions,accommodation,language,lifes_cycle,women,,
"shadow! Unreal mockery, hence! [Ghost]",darkness,derision__offense___contempt,mystical,,,,
"Can such things [ghosts] be, and overcome us like a summer's cloud,",mystical,violence,nature,,,,
"It [murder] will have blood; they say, blood will have blood",violence,anatomy,,,,,
The secret'st man of blood.,concealment,men,anatomy,,,,
"I am in blood Stepped in so far, that should I wade no more, Returning were as tedious as go o'er:",anatomy,movement,spatial,consumption,,,
"Strange things I have in head, that will to hand, Which must be acted ere they may be scanned.",mental_faculty__state__entities,anatomy,physical_activities,time,,,
"You lack the season of all natures, sleep.",privation,food,character_traits__nature,sleep,,,
To trade and traffic with Macbeth In riddles and affairs of death;,economics,mystical,death,,,,
security Is mortals' chiefest enemy.,danger__safety,life,social_relations,,,,
"the two delinquents tear, That were the slaves of drink and thralls of sleep?",judiciary,violence,social_status,food,sleep,,
twould have anger'd any heart alive To hear the men deny't [murder],emotions,anatomy,life,sensations,judiciary,violence,
the malevolence of fortune nothing Takes from his high respect:,ethics,mystical,privation,devotion,,,
"upon his [king's] aid to wake Northumberland,",politics,assistance,sleep,,,,
"Free from our feasts and banquets bloody knives,",social_relations,food,violence,weapons__armor,,,
our suffering country Under a hand accursed!,suffering,politics,spatial,anatomy,religion,,
You'll rue the time That clogs me with this answer.',emotions,time,hindrance,language,,,
"a charm of powerful trouble, Like a hell-broth boil",mystical,suffering,religion,food,temperature,,
I commend your pains;,recognition,suffering,,,,,
"about the cauldron sing, Like elves and fairies in a ring,",food,music,mystical,spatial,,,
untie the winds and let them fight Against the churches;,games__sports,nature,violence,religion,,,
the yeasty waves Confound and swallow navigation up;,food,nature,mental_faculty__state__entities,nautical,,,
though the treasure Of nature's germens tumble all together even till destruction sicken;,economics,nature,reproduction,destruction,medicine,,
"Had I three ears, I'd hear thee [apparition].",quantities,anatomy,sensations,mystical,,,
"I'll make assurance double sure, And take a bond of fate:",feelings,quantities,judiciary,mystical,,,
"I may tell pale-hearted fear it lies, And sleep in spite of thunder.",language,medicine,anatomy,emotions,sleep,resistance,nature
"Be lion-mettled, proud, and take no care Who chafes, who frets, or where conspirers are:",animals,character_traits__nature,feelings,fire,language,politics,
"Rebellion's head, rise never",social_unrest,anatomy,physical_activities,time,,,
"Macbeth Shall live the lease of nature, ",life,judiciary,nature,,,,
pay his breath To time and mortal custom.,economics,breathing,time,life,etiquette,,
my heart Throbs to know,anatomy,violence,mental_faculty__state__entities,,,,
"Show his eyes, and grieve his heart; ",discovering,anatomy,emotions,,,,
"Come [apparitions] like shadows, so depart!",movement,mystical,darkness,privation,,,
"Thy crown does sear mine eye-balls. And thy hair, Thou other gold-bound brow, is like the first [heir].",politics,violence,anatomy,materials,familial,,
the line stretch out to the crack of doom,spatial,nature,religion,,,,
Our duties did his welcome pay.,devotion,etiquette,economics,,,,
this pernicious hour Stand aye accursed in the calendar!,destruction,time,religion,,,,
Infected be the air whereon they [witches] ride;,medicine,nature,mystical,equestrian,,,
"Time, thou anticipatest my dread exploits [murders]:",time,mental_faculty__state__entities,violence,,,,
The flighty purpose never is o'ertook Unless the deed go with it;,animals,mental_faculty__state__entities,time,hunting__fishing,physical_activities,social_relations,
The very firstlings of my heart shall be The firstlings of my hand.,familial,anatomy,,,,,
"To crown my thoughts with acts, ",politics,mental_faculty__state__entities,physical_activities,,,,
boasting like a fool;,language,mental_faculty__state__entities,,,,,
This deed [murder] I'll do before this purpose cool.,violence,mental_faculty__state__entities,temperature,,,,
He loves us not; He wants the natural touch:,emotions,privation,sensations,,,,
"the poor wren, The most diminutive of birds, will fight, Her young ones in her nest, against the owl.",animals,size,violence,lifes_cycle,accommodation,,
The fits o'th' season.,medicine,time,,,,,
"when we hold rumour From what we fear, yet know not what we fear, But float upon a wild and violent sea",language,emotions,mental_faculty__state__entities,nautical,violence,nature,
"Things at the worst will cease, or else climb upward To what they were before. ",suffering,hindrance,physical_activities,spatial,time,,
"[live] As birds do, ",life,animals,,,,,
"Poor bird! thou'ldst never fear the net nor lime, The pitfall nor the gin.",animals,time,emotions,hunting__fishing,,,
I can buy me twenty [husbands] at any market.,economics,quantities,matrimony,,,,
Then you'll buy 'em [husbands] to sell again.,economics,matrimony,,,,,
"thee [son], poor monkey!",familial,animals,,,,,
"Do I put up that womanly defence, To say I have done no harm?",judiciary,women,language,violence,,,
you egg! Young fry of treachery!,animals,lifes_cycle,politics,,,,
Weep our sad bosoms empty.,emotions,anatomy,privation,,,,
like good men Bestride our down-fall'n birthdom:,ethics,military,death,politics,,,
"new sorrows Strike heaven on the face, ",emotions,violence,religion,anatomy,,,
that it [sorrow] resounds As if it [heaven] felt with Scotland,emotions,sounds,suffering,religion,politics,,
and [heaven] yell'd out Like syllable of dolour.,religion,sounds,language,suffering,,,
"what I can redress, As I shall find the time to friend, I will.",judiciary,discovering,time,social_relations,,,
"This tyrant, whose sole name blisters our tongues,",politics,language,medicine,anatomy,,,
offer up a weak poor innocent lamb To appease an angry god.,devotion,physical_attributes,judiciary,animals,emotions,religion,
"Though all things foul would wear the brows of grace, Yet grace must still look so.",ethics,clothes,anatomy,religion,appearance,,
strong knots of love,clothes,emotions,,,,,
"Bleed, bleed, poor country!",medicine,politics,,,,,
wear thou thy wrongs;,clothes,ethics,,,,,
" the whole space that's in the tyrant's grasp, And the rich East to boot.",spatial,politics,adhesion,economics,geography,,
I think our country sinks beneath the yoke;,politics,consumption,architecture,,,,
"It [our country] weeps, it bleeds; and each new day a gash Is added to her wounds:",politics,emotions,violence,time,injuries,,
hands uplifted in my right;,anatomy,spatial,politics,,,,
"the particulars of vice so grafted That, when they shall be open'd, black Macbeth [king] Will seem as pure as snow,",ethics,architecture,spatial,colors,politics,cleaning,nature
"the poor state Esteem him [king] as a lamb, being compared With my confineless harms.",politics,animals,mental_faculty__state__entities,spatial,violence,,
"there's no bottom, none, In my voluptuousness: ",spatial,sexuality,,,,,
"Your wives, your daughters, Your matrons and your maids, could not fill up The cistern of my lust",matrimony,familial,women,social_status,sexuality,food,
Boundless intemperance In nature is a tyranny; it hath been Th'untimely emptying of the happy throne And fall of many kings.,spatial,character_traits__nature,politics,time,consumption,emotions,destruction
Convey your pleasures in a spacious plenty And yet seem cold.,sexuality,spatial,quantities,temperature,,,
The time you may so hoodwink.,time,concealment,,,,,
"We have willing dames enough: there cannot be That vulture in you, to devour so many",sexuality,women,animals,food,,,
my more-having would be as a sauce To make me hunger more that I should forge Quarrels unjust,economics,food,deception,violence,ethics,,
"This avarice Sticks deeper, grows with more pernicious root Than summer-seeming lust, ",economics,violence,spatial,nature,destruction,sexuality,
and it [avarice] hath been The sword of our slain kings:,economics,weapons__armor,violence,politics,,,
"all these [vices] are portable, With other graces weigh'd.",ethics,suffering,character_traits__nature,weight,,,
"the king-becoming graces, [virtues] I have no relish of them,",politics,etiquette,character_traits__nature,food,,,
"Pour the sweet milk of concord into hell, ",consumption,food,politics,religion,,,
"Uproar the universal peace, confound All unity on earth.",social_unrest,politics,mental_faculty__state__entities,spatial,nature,,
"nation miserable, With an untitled tyrant bloody-scepter'd, When shalt thou see thy wholesome days again,",politics,suffering,social_status,violence,sensations,medicine,time
"upon her [queen] knees than on her feet, Died every day she lived. ",politics,anatomy,death,time,life,,
These evils thou repeat'st upon thyself Have banish'd me from Scotland,ethics,language,politics,,,,
"O my breast, Thy hope ends here!",anatomy,emotions,destruction,,,,
"this noble passion, Child of integrity, ",character_traits__nature,emotions,familial,ethics,,,
"[passion] hath from my soul Wiped the black scruples, ",emotions,religion,cleaning,colors,ethics,,
Devilish Macbeth [king] By many of these trains hath sought to win me Into his power,religion,politics,deception,,,,
modest wisdom plucks me From over-credulous haste,character_traits__nature,violence,mental_faculty__state__entities,speed,,,
"abjure The taints and blames I laid upon myself, For strangers to my nature. ",judiciary,cleaning,social_relations,character_traits__nature,,,
the chance of goodness [victory] Be like our warranted quarrel!,luck,military,judiciary,violence,,,
Tis [disease] call'd the evil:,medicine,ethics,,,,,
"sundry blessings hang about his throne,",religion,adhesion,politics,,,,
poor country! Almost afraid to know itself.,politics,emotions,mental_faculty__state__entities,,,,
"It [country] cannot Be call'd our mother, but our grave;",politics,language,familial,death,,,
sighs and groans and shrieks that rend the air,sounds,violence,nature,,,,
violent sorrow seems A modern ecstasy;,violence,emotions,time,mental_faculty__state__entities,,,
"good men's lives Expire before the flowers in their caps,",ethics,death,nature,clothes,,,
That [grief] of an hour's age doth hiss the speaker: Each minute teems a new one.,emotions,time,lifes_cycle,sounds,language,reproduction,
Be not a niggard of your speech:,economics,language,,,,,
"to transport the tidings, Which I have heavily borne",labor,language,weight,,,,
"your eye in Scotland Would create soldiers, ",anatomy,politics,military,,,,
make our women fight To doff their dire distresses.,women,violence,clothes,suffering,,,
gracious England hath Lent us good Siward and ten thousand men [soldiers];,politics,economics,quantities,military,,,
"I have words That would be howl'd out in the desert air, Where hearing should not latch them.",language,sounds,nature,sensations,adhesion,,
a fee-grief Due to some single breast.,economics,emotions,anatomy,,,,
"let not your ears despise my tongue for ever, ",resistance,anatomy,derision__offense___contempt,time,,,
Which [tongue] shall possess them [ears] with the heaviest sound That ever yet they heard.,anatomy,adhesion,weight,sounds,time,sensations,
"to relate the manner [of death], Were, on the quarry of these murder'd deer, To add the death of you.",language,death,violence,animals,quantities,,
Give sorrow words,emotions,language,,,,,
The grief that does not speak Whispers the o'er-fraught heart and bids it break.,emotions,language,sounds,labor,anatomy,commands,destruction
"Let's make us medicines of our great revenge, To cure this deadly grief.",medicine,violence,death,emotions,,,
[king] hell-kite!,politics,religion,animals,,,,
all my [father] pretty chickens and their dam at one fell swoop?,familial,animals,violence,,,,
Dispute it [grief] like a man.,language,emotions,men,,,,
I must also feel it as a man.,emotions,men,,,,,
"Did heaven look on, And would not take their part?",religion,sensations,theatre,,,,
"Be this the whetstone of your sword: let grief Convert to anger; blunt not the heart, enrage it.",weapons__armor,emotions,transformation,anatomy,consumption,,
I could play the woman with mine eyes And braggart with my tongue!,theatre,women,anatomy,language,,,
"gentle heavens, Cut short all intermission. ",religion,violence,time,,,,
this fiend of Scotland and myself;,religion,politics,,,,,
This time goes manly.,time,men,,,,,
Macbeth Is ripe for shaking.,politics,architecture,violence,,,,
their [eyes] sense are shut.,anatomy,sensations,hindrance,,,,
all the perfumes of Arabia will not sweeten this little hand.,sensations,geography,anatomy,,,,
The heart is sorely charged.,anatomy,suffering,labor,,,,
I would not have such a heart in my bosom for the dignity of the whole body.,anatomy,character_traits__nature,,,,,
unnatural deeds Do breed unnatural troubles:,nature,physical_activities,reproduction,suffering,,,
infected minds to their deaf pillows wil discharge their secrets,medicine,mental_faculty__state__entities,deformities__disabilities,sleep,privation,concealment,
Revenges burn in them;,violence,light,,,,,
dear causes Would to the bleeding and the grim alarm Excite the mortified man [soldiers].,politics,injuries,military,sleep,death,,
He cannot buckle his distempered cause Within the belt of rule.,clothes,medicine,politics,,,,
His secret murders sticking on his hands;,concealment,violence,adhesion,anatomy,,,
"his title Hang loose about him, like a giant's robe Upon a dwarfish thief.",politics,adhesion,clothes,deformities__disabilities,economics,,
"Who then shall blame His pester'd senses to recoil and start, When all that is within him does condemn Itself for being there?",judiciary,sensations,emotions,spatial,,,
"Meet we [soldiers] the medicine of the sickly weal, And with him pour we in our country's purge Each drop of us.",military,medicine,politics,death,,,
To dew the sovereign flower and drown the weeds.,nature,politics,violence,architecture,,,
"The mind I sway by, and the heart I bear, Shall never sag with doubt, nor shake with fear.",mental_faculty__state__entities,politics,anatomy,labor,consumption,violence,emotions
"The devil damn thee black, ",religion,colors,,,,,
thou cream-faced loon!,food,anatomy,social_status,,,,
Where got'st thou that goose look?,animals,facial_expressions,,,,,
"Geese, villain!",animals,ethics,,,,,
"Go prick thy face, and over-red thy fear, ",violence,anatomy,colors,emotions,,,
Thou lily-liver'd boy.,nature,anatomy,lifes_cycle,,,,
those linen cheeks of thine Are counsellors to fear.,clothes,anatomy,politics,emotions,,,
whey-face.,food,anatomy,,,,,
I am sick at heart,medicine,anatomy,,,,,
"my way of life Is fall'n into the sere, the yellow leaf,",spatial,life,destruction,nature,colors,,
"mouth-honour, breath Which the poor heart would fain deny, ",anatomy,recognition,breathing,feelings,privation,,
I'll fight till from my bones my flesh be hack'd.,violence,anatomy,,,,,
"Pluck from the memory a rooted sorrow,",architecture,mental_faculty__state__entities,emotions,,,,
Raze out the written troubles of the brain,language,suffering,anatomy,,,,
with some sweet oblivious antidote Cleanse the stuffed bosom of that perilous stuff Which weighs upon the heart,mental_faculty__state__entities,medicine,hindrance,anatomy,danger__safety,weight,
Throw physic to the dogs,food,medicine,animals,,,,
"cast The water of my land, find her disease, And purge it to a sound and pristine health,",nature,geography,medicine,,,,
"I would applaud thee [doctor] to the very echo, that should applaud again",recognition,medicine,sounds,,,,
"What rhubarb, senne, or what purgative drug, Would scour these English [soldiers] hence?",medicine,military,,,,,
none serve with him but constrained things Whose hearts are absent too.,social_relations,incarceration,anatomy,privation,,,
"Thoughts speculative their unsure hopes relate, ",mental_faculty__state__entities,feelings,emotions,language,,,
But certain issue strokes must arbitrate:,mental_faculty__state__entities,violence,judiciary,,,,
our castle's strength Will laugh a siege to scorn:,architecture,physical_attributes,derision__offense___contempt,military,,,
famine and the ague eat them up [enemies]:,food,medicine,military,,,,
"beard to beard, And beat them",anatomy,violence,,,,,
the taste of fears;,food,emotions,,,,,
my senses would have cooled To hear a night-shriek;,sensations,temperature,darkness,sounds,,,
my fell of hair Would at a dismal treatise rouse and stir As life were in't:,anatomy,feelings,language,movement,life,,
I have supp'd full with horrors;,food,emotions,,,,,
"to-morrow, Creeps in this petty pace from day to day To the last syllable of recorded time.",time,movement,language,,,,
all our yesterdays have lighted fools The way to dusty death.,time,light,theatre,spatial,death,,
"Life's but a walking shadow, ",life,movement,darkness,,,,
[life is] a poor player That struts and frets his hour upon the stage And then is heard no more:,life,theatre,movement,language,time,sensations,
"it is a tale Told by an idiot, full of sound and fury, Signifying nothing.",language,mental_faculty__state__entities,sounds,emotions,privation,,
Liar and slave!,language,social_status,,,,,
I pull in resolution,equestrian,mental_faculty__state__entities,,,,,
the fiend That lies like truth:,religion,language,,,,,
"I gin to be aweary of the sun, ",mental_faculty__state__entities,nature,,,,,
"Blow, wind, come wrack, ",nature,destruction,,,,,
our trumpets speak; those clamorous harbingers of blood and death.,music,language,sounds,social_status,violence,death,
"They have tied me to a stake; I cannot fly, But, bear-like, I must fight the course.",incarceration,danger__safety,animals,violence,games__sports,,
a hotter name Than any is in hell.,temperature,language,religion,,,,
The devil himself could not pronounce a title More hateful to mine ear.,religion,language,social_status,emotions,anatomy,,
with my sword I'll prove the lie thou speak'st.,weapons__armor,judiciary,language,,,,
"The day almost itself professes yours [your victory],",time,language,military,,,,
"Why should I play the Roman fool, and die On mine own sword?",theatre,ethnicity__nationality,mental_faculty__state__entities,death,weapons__armor,,
[king] hell-hound,politics,religion,animals,,,,
my soul is too much charged With blood,religion,quantities,judiciary,anatomy,,,
I have no words: My voice is in my sword,language,sounds,weapons__armor,,,,
thou bloodier villain Than terms,violence,ethics,language,,,,
Thou losest labour: As easy mayst thou the intrenchant air With thy keen sword impress as make me bleed:,privation,labor,appearance,nature,weapons__armor,injuries,
"Accursed be that tongue that tells me so, For it hath cowed my better part of man!",religion,anatomy,language,emotions,character_traits__nature,men,
"be these juggling fiends no more believed, That palter with us in a double sense; ",theatre,religion,mental_faculty__state__entities,language,quantities,,
"live to be the show and gaze o' the time: We'll have thee, as our rarer monsters are, Painted on a pole, and underwrit, 'Here may you see the tyrant.'",life,theatre,time,deformities__disabilities,art,language,politics
"I will not yield, To kiss the ground before young Malcolm's [traitor] feet, ",social_relations,affection,nature,politics,anatomy,,
And to be baited with the rabble's curse.,animals,social_status,language,,,,
So great a day as this is cheaply bought.,time,economics,,,,,
paid a soldier's debt:,economics,military,,,,,
"where he fought, But like a man he died.",violence,men,death,,,,
"your cause of sorrow Must not be measured by his worth, ",mental_faculty__state__entities,emotions,size,economics,,,
"Had I as many sons as I have hairs, ",quantities,familial,anatomy,,,,
"I would not wish them to a fairer death: And so, his knell is knoll'd.",mental_faculty__state__entities,appearance,death,music,,,
"He's worth more sorrow, And that I'll spend for him.",economics,quantities,emotions,,,,
He's worth no more; They say he parted well and paid his score:,economics,quantities,death,,,,
the time is free:,time,social_relations,,,,,
"compass'd with thy kingdom's pearl,",spatial,politics,economics,,,,
"We shall not spend a large expense of time Before we reckon with your several loves,",economics,quantities,time,devotion,,,
"to do [rule], Which would be planted newly with the time,",politics,architecture,time,,,,
"our exiled friends abroad, That fled the snares of watchful tyranny;",social_relations,geography,danger__safety,hunting__fishing,politics,,
and his fiend-like queen.,religion,politics,,,,,
all thy [king] people Mutually labouring in a fit of wonder?,politics,labor,mental_faculty__state__entities,,,,
dearly earned them [our titles] in our flesh.,economics,social_status,anatomy,,,,
"It savours [...] nor virtue, Religion, loyalty, heaven or nature?s laws So most perfidiously to enter, tyrant, ",food,ethics,religion,devotion,nature,spatial,politics
And when shines friendship best but in a storm?,light,social_relations,nature,,,,
"Impoverishing the heart of our munition,",economics,anatomy,weapons__armor,,,,
"having won the honour of the battle To throw our glory on unworthy spirits, ",military,privation,recognition,social_relations,,,
unload victory?s honey thighs To let drones feed?,labor,military,food,animals,,,
"The kingdom, and not under, suits our blood.",politics,spatial,etiquette,anatomy,,,
"Flies are not eagles? preys, nor thanks our food.",animals,recognition,food,,,,
"And for Cilicia, our other sphere? Our son Zenarchus, let thy beams move there.",politics,astrology,familial,light,movement,,
retain The seal of honour and religion.,preservation,heraldry,character_traits__nature,religion,,,
"The [dukedom, the kingdom, Lydia]. All pant under your sceptre",geography,breathing,spatial,politics,,,
Be not bought out with words.,economics,language,,,,,
"Kiss fortune, ",affection,mystical,,,,,
Had we not beat his strength to his own throat,violence,military,anatomy,,,,
in him [family] ?twas [treachery] monstrous;,familial,politics,deformities__disabilities,,,,
There?s more deceit in peace: ?tis common there To unfold young heirs;  the old may well stand bare.,deception,politics,clothes,familial,lifes_cycle,,
honour the rising sun.,devotion,nature,,,,,
shame the world and follow me.,emotions,politics,devotion,,,,
I?ll play the flounder: keep me to my tide. And so will I: this is the flowing side.,theatre,animals,preservation,nature,movement,politics,
"The Prince, [?] binds him in a love-chain.",politics,incarceration,emotions,,,,
His [the prince's] presence sets a gloss on your attempts [military]; They have their lustre from him.,politics,appearance,light,military,,,
He?s [the prince] their [the military attempts] countenance.,politics,military,appearance,,,,
thou armest us that won the day.,weapons__armor,military,time,,,,
"None but Mazeres [counselor], that court fly,  ",politics,animals,,,,,
on The virtues of the King blow such corruption.,character_traits__nature,politics,breathing,destruction,,,
"Man falls to vice in minutes, runs and leaps, ",humanity,ethics,time,movement,physical_activities,,
But unto goodness he takes wary steps.,ethics,danger__safety,movement,,,,
"Who [the princess], upon fortune or her father?s frown Erecting the whole fabric of her love,",politics,social_status,familial,facial_expressions,architecture,emotions,
Fate does but dim the gloss of a right man;,mystical,darkness,light,ethics,,,
Change faith for dross?,transformation,religion,materials,,,,
In his grey hairs turn tyrant to his friends?,colors,anatomy,politics,social_relations,,,
more sins than he hath tears to weep them?,quantities,religion,anatomy,emotions,,,
Can you love a beggar?,emotions,economics,,,,,
"not his painted glories, ",art,recognition,,,,,
This kingdom now detain?d wrongfully,politics,incarceration,ethics,,,,
"let your lips meet, though your fortunes wander.",anatomy,sexuality,mystical,movement,,,
Taste lips so bounteously with a beggar?,food,anatomy,social_relations,economics,,,
"Time, that makes wretched, makes the same men blest.",time,suffering,religion,,,,
refresh The gasping fortunes of a desperate wretch;,assistance,breathing,mystical,social_status,,,
All horrors of a guilty breast keep with thee!,emotions,judiciary,anatomy,preservation,,,
have the wars drink your [the babies] immaculate blood.,military,food,lifes_cycle,religion,anatomy,,
where wilt thou hide Th?abhorr?d burden of thy wretched flesh?,spatial,concealment,emotions,labor,suffering,anatomy,
"Earth, stretch thy throat: ",nature,spatial,anatomy,,,,
"[earth] take down this bitter pill, Loathing the hateful taste of his own ill.",nature,spatial,food,medicine,emotions,ethics,
Soldiers must have their sport. ?Tis dearly earned; they venture their blood for?t [sex].,military,games__sports,economics,danger__safety,anatomy,sexuality,
in this deed [rescue] my former baseness die.,assistance,character_traits__nature,death,,,,
Monsters begot them [thieves].,deformities__disabilities,reproduction,economics,,,,
my soul hath a poor stock.,religion,economics,,,,,
"There?s a fair house within, but ?tis ill furnished: ",appearance,architecture,spatial,ethics,domestic,,
"There wants true tears for hangings, penitent falls? ",privation,anatomy,domestic,feelings,,,
"For without prayers, soldiers are but bare walls.",religion,military,architecture,,,,
"as happy then As now unfortunate,",emotions,time,suffering,,,,
"peace was plighted by his enemy?s hand,",politics,violence,social_relations,anatomy,,,
unnatural treason From forth a kinsman?s bosom;,nature,politics,familial,anatomy,,,
"frighted at new wars and his [traitor] false breath,",emotions,military,politics,deception,breathing,,
in her words I endure a thousand deaths!,language,suffering,quantities,death,,,
