,Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
559,"it is I, have caused this overthrow, it is my accursed stars that bode this ill,",politics,religion,astrology,mystical,ethics,,
560,all the world ring of your Victories.,politics,sounds,military,,,,
561,"This man has inward guard, past your young sight.",spatial,military,LIFE'S CYCLE,sensations,,,
562,"Betwixt their thoughts and actions have control, But headlong run, like an unbiased Bowl",spatial,mental_faculty__state__entities,physical_activities,social_relations,movement,games__sports,
563,"If there be hell for sins that men commit, Marry a strumpet and she keeps the pit. ",religion,men,matrimony,sexuality,incarceration,,
564,"Ignoble villens, their best blood shall prove, Reuenge fals heauy, that is rais'd by loue.",ethics,anatomy,judiciary,violence,weight,physical_activities,emotions
565,"That sacrilegious thiefe toÂ HimensÂ rights,",religion,economics,matrimony,,,,
566,I'ue buryed vnder these two marble stones Thy liuing hopes; ,death,materials,life,emotions,,,
567,as forward in as hot a seruice,character_traits__nature,temperature,social_relations,,,,
568,You make me blush at all these yeares To see how blindely you have flung your praises upon a Boy,facial_expressions,time,sensations,deformities__disabilities,recognition,LIFE'S CYCLE,
569,"Loue is cleare sighted, ",emotions,cleaning,sensations,,,,
570,"The gods wills secret are, nor must we measure Their chaste-reserved deeps by our dry shallows.",religion,mental_faculty__state__entities,concealment,size,ethics,spatial,
571,"Bear my names glory to theÂ OceanÂ mane, Which to the worlds end shall it bound it again",labor,language,recognition,nature,anatomy,spatial,
572,my praise came short of her worth. Shee exceedes a Iewell. This is but onely for ornament; Shee both for ornament and vse. ,recognition,economics,women,art,social_relations,,
573,When worlds do burne vnseens a Citties flame.,nature,fire,appearance,urban,,,
574,"what is MALT, M much, A ale, L little, T thrift, ",food,language,quantities,economics,,,
575,a fellow that will hardly Serue i'th' darke when one is drunke.,social_relations,darkness,food,,,,
576,"in a man that's just They [stops] are close delations, working from the heart That passion cannot rule.",men,ethics,hindrance,concealment,anatomy,emotions,politics
577,show your vgliest brow O most blacke chaunce: make me a wretched story,discovering,appearance,anatomy,colors,luck,suffering,language
578,what a Metamorphosis a braue suit can worke.,transformation,character_traits__nature,courting,,,,
579,"what Summoners Ghost or limb of Lucifer, puts poore Bordello in minde of pennance before he has trespassed?",mystical,anatomy,religion,mental_faculty__state__entities,feelings,judiciary,
580,"the nobles bended, As to Jove's statue,",social_status,social_relations,religion,art,,,
581,I will make thee [earth] Do your right nature.,social_relations,nature,character_traits__nature,,,,
582,Although a stagelike passion & weake heate Full of an empty wording might sute age Know Ile speake strongly truth,theatre,emotions,temperature,spatial,language,etiquette,LIFE'S CYCLE
583,"The senator shall bear contempt hereditary,",politics,derision__offense___contempt,familial,,,,
584,"that our stars, Unreconciliable, should divide Our equalness to this. ",astrology,social_relations,quantities,,,,
585,"Should we be silent and not speak, our raiment And state of bodies would bewray what life We have led since your exile. ",sounds,language,clothes,anatomy,discovering,life,politics
586,[Virtue] Her throes unpitied; ,ethics,suffering,emotions,,,,
587,"Gods I do not enuy you; for know this Way's here on earth compleate, excels you blisse",religion,emotions,mental_faculty__state__entities,spatial,nature,,
588,"Being no more a woman, I am now Deuote to death, and an inhabitant Of th'other world",women,devotion,death,accommodation,religion,,
589,Come you [water] cleare embleme of coole temperance. ,commands,nature,cleaning,heraldry,temperature,character_traits__nature,
590,"Rest in these embers my unmoued soul, With any outward change, this distich minding;",sleep,fire,religion,spatial,transformation,art,mental_faculty__state__entities
591,"What new flame breakes out of the firmament, That turnes up counsels neuer knowne before?",fire,appearance,nature,assistance,mental_faculty__state__entities,time,
592,"whilest you livedst wast fair virtues flower, Crowned with eternal honor and renown,",life,ethics,nature,politics,time,recognition,
593,"were there but this single plot to lose, This mould of Marcius, they to dust should grind it And throw't against the wind. ",geography,privation,nature,materials,consumption,,
594,"And whilest the king his wilfull edicts makes, In which nones tongue is powerfull saue the kings, Hee's in a corner, relishing strange aires.",politics,judiciary,anatomy,spatial,food,mental_faculty__state__entities,nature
595,if it may stand with the tune of your voices that I may be consul,music,sounds,politics,,,,
596,Epaminondas  paid his Countrie nor himselfe their right ,historical,economics,politics,,,,
597,My soft-spleened servants ouerrule and curb me,physical_attributes,anatomy,social_status,judiciary,equestrian,,
598,They were not born to loose their light so soon,reproduction,privation,light,,,,
599,"Ask but the thriving'st harlot in cold blood, She'd give the world to make her honour good.",language,economics,sexuality,temperature,anatomy,nature,recognition
600, IÂll take the plain roadway and hunt his death. ,spatial,hunting__fishing,death,,,,
601,"now it is full sea abed over the world, ThereÂÂs juggling of all sides.",nature,deception,spatial,,,,
602,"Through mortall danger with an actiue spirit, Thus I aspire to vndergoe my death.",death,danger__safety,character_traits__nature,emotions,,,
603,"if it be so far beyond his health, he should the sooner pay his debts, And make a clear way to the gods.",medicine,economics,spatial,religion,,,
604,"tis just I dye, since Fortune has left me my steep descent attends me",ethics,death,mystical,privation,spatial,social_relations,
605,"be proud myÂ Uenus,",character_traits__nature,myth,,,,,
606,their [eyes] sense are shut.,anatomy,sensations,hindrance,,,,
607,"Th'art like an Ivy nourisht at the roote Of some proud oake: that not content to creepe And feede upon the sap, but stretching vp, Proudly presumst to ouerlooke the top:",nature,food,character_traits__nature,feelings,movement,sensations,spatial
608,"hope of Crowns, or thought ofÂ Diadems, that made me wade through honours perilous deep",emotions,politics,mental_faculty__state__entities,movement,spatial,recognition,danger__safety
609,this unsunn?Â¨d lodge Wherein ÂÂtis night at noon,privation,nature,accommodation,darkness,time,,
610,"VVhen guiltie [lust] made Noblesse, feed on Noblesse;",judiciary,sexuality,social_status,food,,,
611,"A suddeine weaknes intoÂ ScipiosÂ armes, by drawing such a limb from the maine body Of his yet powerfull armie",physical_attributes,privation,anatomy,military,,,
612,I shall discern Some sparks will fly from his dissembling eyes.,mental_faculty__state__entities,fire,deception,anatomy,,,
613,Did we make our tears women for thee? ,transformation,anatomy,women,,,,
614,"at your Importance, for once I'll stretch my purse Whose born to sink, as good this way as worse.",social_relations,spatial,economics,consumption,,,
615,"quarrell with sheepe, And runne as mad as Ajax;",violence,animals,movement,mental_faculty__state__entities,myth,,
616,Then I can but fall. [He leapes downe.]--Like Lucifer from heauen.,physical_activities,spatial,religion,,,,
617,for all beneath the moon Would I not leap upright.,spatial,astrology,economics,physical_activities,,,
618,"Shall we dance now the Egyptian Bacchanals, And celebrate our drink?",joviality,ethnicity__nationality,religion,food,,,
619,"the malignant enuies of my foes, Who poure me out in such a Stygian flood, To drown me in my selfe,  ",ethics,emotions,social_relations,nature,myth,violence,character_traits__nature
620,"for honesty Is like a stock of money laid to sleep, Which, never so little broke, does never keep.",ethics,economics,sleep,privation,preservation,,
621,"golden roofs that glister like the Sun, Shall be preparwd to entertain my Love",economics,architecture,light,nature,emotions,,
622,"They [the gods] grace in the instant, and in the instant we [human beings] Must add our parts, and be in the use as free.",religion,time,humanity,devotion,social_relations,,
623,"[the belly] Still cupboarding the viand, never bearing Like labour with the rest, ",anatomy,preservation,food,labor,,,
624,"Should they not [the wounds hear themselves remembered], Well might they fester 'gainst ingratitude, And tent themselves with death. ",injuries,sensations,mental_faculty__state__entities,medicine,recognition,death,
625,"would to God your great misdedes had beene, As much vndone, as they have beene concealde; The cries of them for iustice (in desert) Haue beene so lowd and piersing; that they deafened The eares of mercie;",religion,concealment,sounds,judiciary,violence,deformities__disabilities,anatomy
626,"She haunts me in every place [Â], thither comes the bauble,",women,spatial,movement,economics,,,
627,"my cause, is my bold hartning ods, That seeuen fold shield,",politics,character_traits__nature,anatomy,quantities,weapons__armor,,
628,"I will not yield, To kiss the ground before young Malcolm's [traitor] feet, ",social_relations,affection,nature,politics,anatomy,,
629,"learned atÂ MarsÂ his games to play, Nor tossed these bloody balls, of dread and death",education,myth,games__sports,violence,emotions,death,
630,"High Muse, which whilome virtues patronized, In whose eternall rowles of memory The famous acts of Princes were comprized By force of euer-living History",myth,ethics,politics,time,language,mental_faculty__state__entities,recognition
631,"my hart's all sadnesse,",anatomy,emotions,,,,,
632,Well said man i'the Moone. Was ever such Astronomers? ,language,men,astrology,,,,
633,"I'll watch him Till he be dieted to my request,",sensations,food,language,,,,
634,"like the dying swan, would I might sing A funerall elegy to my parting soule, So that the musique might but please your eares:",death,animals,music,religion,feelings,anatomy,
635,"Therefore my hopes, not surfeited to death, Stand in bold cure.",emotions,food,death,preservation,character_traits__nature,medicine,
636,"Nature did rob her selfe, when she made him. Blushing to see her vvorke excell her selfe;",nature,economics,facial_expressions,sensations,labor,,
637,"the key that opens to the Via lactea [milky road, woman's bedroom]",domestic,spatial,food,women,,,
638,"May your desire to me for ever last, Not dye by surfet on my delicates:",sexuality,time,death,food,,,
639,"a rule I still will keepe in brest,",judiciary,preservation,spatial,anatomy,,,
640,All my fond love thus do I blow to heaven. 'Tis gone.,mental_faculty__state__entities,emotions,violence,religion,,,
641,"I for sorrow sung, That such a king should play bo-peep, And go the fools among.",emotions,music,politics,games__sports,mental_faculty__state__entities,,
642,"Hence [aedile], old goat!",politics,LIFE'S CYCLE,animals,,,,
643,"it [the heavy news] doth presse the Organs of my speech, And like a lethargie doth numbe those motions should giue it vtterance.",weight,language,violence,anatomy,medicine,sensations,movement
644,Amazement is shot through me.,mental_faculty__state__entities,violence,spatial,,,,
645,"Be peacefull wronged Ghost where soere thou beest, Post to the blessed fields where soules take rest: ",feelings,ethics,mystical,speed,religion,nature,sleep
646,"who could refrain, That had a heart to love, and in that heart Courage to make 's love known",resistance,anatomy,emotions,character_traits__nature,recognition,,
647,"her looks do tell, She's married but as those that live in hell",sensations,language,matrimony,life,religion,,
648,ministers would prevail Under the service of a child as soon As in the command of Caesar,politics,preservation,social_relations,LIFE'S CYCLE,military,,
649,"let vs stay the time, Till heauen haue made them ripe for iust reuenge,",preservation,time,religion,architecture,judiciary,violence,
651,"They claw Villanously, they have eat up your honest name, and honourable reputation by railing against you, and now they come to devour your possessions. ",violence,ethics,food,language,recognition,economics,
652,"FlyeÂ Phoebus,Â flye, the houre is sixe a clocke.",animals,myth,time,,,,
653,untie the winds and let them fight Against the churches; ,games__sports,nature,violence,religion,,,
654,"[if you die] in water drown, who else would melt in tears.",death,nature,violence,consumption,anatomy,,
655,"they tug for shadowes,",violence,darkness,,,,,
656,"It is not don, my heart sunke in my breast,",hindrance,anatomy,destruction,,,,
657,"he that will believe all that they [Women] say, shall never be saved by half that they do",mental_faculty__state__entities,language,time,preservation,women,,
658,"thee [son], poor monkey!",familial,animals,,,,,
659,"Nor sight of priests in holy vestments bleeding, Shall pierce a jot. ",weapons__armor,anatomy,appearance,religion,clothes,injuries,violence
660,"[My beaming eyes yet full of Majesty] give bright lustre to the glass, as when the sun beams touch a Diamond.",light,anatomy,politics,appearance,nature,sensations,economics
661,When our afflictions do exceede our crimes? Then they do rather teach the barb'rous world Examples ,suffering,spatial,judiciary,education,nature,ethics,
662,"the offices I gaue, As th'earnest of my love to binde his firme.",social_status,devotion,emotions,incarceration,,,
663,How great a spirit he breaths?,character_traits__nature,breathing,,,,,
664,"PharsaliaÂ doth your conquest sound, Jove'sÂ welcome messenger faire Victory, Hath Crowned your temples with victorious bay.",politics,military,sounds,nature,greetings,social_relations,religion
665,"Light-shining Treasons and unquenced Hates, ",light,politics,consumption,emotions,,,
666,When angry heavens did pour down showers of blood and fatalÂ CometsÂ in the heavens did blast ,emotions,religion,spatial,anatomy,death,astrology,violence
667,"the rabble: Cats, that can judge as fitly of his worth As I can of those mysteries which heaven Will not have earth to know.",politics,animals,mental_faculty__state__entities,character_traits__nature,religion,nature,
668,"that he should bathe in nectar [food],",cleaning,food,religion,,,,
669,"The ground not dryed from sadÂ PharsalianÂ blood, will now be turned to a purple lake",nature,emotions,politics,anatomy,transformation,colors,
670,"Her tongue not too lowd nor cocket,",anatomy,sounds,character_traits__nature,,,,
671,[prodigious starre] Be like the Basiliske fatall to behold:,mystical,astrology,myth,death,sensations,,
672,What night or what darcke Chaos can conceal My conscience horror?,darkness,religion,concealment,ethics,emotions,,
673,Reputation! Wert not for theeÂ SyphaxÂ could beare this skorne Not spouting up his gall among his blood In blacke vexations:,recognition,suffering,derision__offense___contempt,anatomy,colors,feelings,
674,Blessed pudding!,religion,food,,,,,
675,for a very little thief of occasion will rob you of a great deal of patience:,size,time,economics,character_traits__nature,,,
676,"once we stood up about the corn, he himself stuck not to call us the many-headed multitude.",politics,food,language,quantities,anatomy,deformities__disabilities,
677,"that is neuer hoodwinckt? he is an extreme enemy to Haberdashers: affecting no blocke, but that which nature bestowed on him:",concealment,social_relations,clothes,economics,nature,,
678,Thy counsell is the path leades me to heaven.,assistance,spatial,social_relations,religion,,,
679,"forbad all names; He was a kind of nothing, titleless,",judiciary,language,privation,social_status,,,
680,She that in wisdom never was so frail To change the cod's head for the salmon's tail;,mental_faculty__state__entities,time,physical_attributes,economics,animals,anatomy,
681,"this husband, which, you say, must charge his horns with garlands!",matrimony,games__sports,animals,nature,,,
682,"I have been The book of his good acts, whence men have read His name unparallel'd, haply amplified;",language,ethics,men,size,,,
683,"couldst you [snake] speak, That I might hear thee call great Caesar ass Unpolicied!",animals,language,sensations,politics,,,
684,"What rhubarb, senne, or what purgative drug, Would scour these English [soldiers] hence?",medicine,military,,,,,
685,"the merciles gulfe of confusion Should swallow them, ",character_traits__nature,nature,mental_faculty__state__entities,food,,,
686,"Do you but bring Light to the Banquet Fortune sets before thee,",light,food,mystical,,,,
687,"bid that welcome Which comes to punish us, and we punish it Seeming to bear it lightly. ",greetings,judiciary,appearance,suffering,,,
688,"Preposterous fates, what mischiefes you inuolue Vpon a captiue Prince left to the fury Of all grand mischiefe,",deformities__disabilities,mystical,ethics,spatial,politics,emotions,violence
689,"Yet since your pleasure has inflicted it, If not my heart, my dutie shall submit.",sexuality,violence,anatomy,devotion,social_relations,,
690,"If wolves had at your gate howl'd that stern time, Thou shouldst have said 'Good porter, turn the key,'",animals,architecture,sounds,time,language,domestic,
691,"Out of this garnish of his worthy parts Is falne upon this foolish Persian,",clothes,character_traits__nature,destruction,mental_faculty__state__entities,ethnicity__nationality,,
692,"I had kept in my breath of purpose Thinking to go away [die] the quieter,",preservation,breathing,mental_faculty__state__entities,death,sounds,,
693,what a fine olde Zany my Loue has made him,LIFE'S CYCLE,theatre,emotions,,,,
694,"like theÂ SestianÂ maide May I courtÂ LeanderÂ swimming in my armes,",women,courting,myth,physical_activities,anatomy,,
695,Cowardice evermore flys to the shield of Reason.,character_traits__nature,danger__safety,weapons__armor,mental_faculty__state__entities,,,
696,thy nature; It is too full o' the milk of human kindness To catch the nearest way,character_traits__nature,food,humanity,hunting__fishing,spatial,,
697,"My Lands shewed like a full moone about mee, but nowe the moon's ith last quarter, wayning, waining, And I am mad to think that moone was mine: Mine and my fathers, ",geography,nature,time,consumption,mental_faculty__state__entities,familial,astrology
698,"I am his now, As sure asÂ Iuno's Ioues, HymenÂ take flight, And see not me, 'tis not my wedding night.",mental_faculty__state__entities,myth,emotions,animals,sensations,matrimony,
699,my greefe Would make aÂ SaintÂ blaspheme,emotions,religion,language,,,,
700,"You win the worlds shame,",recognition,politics,etiquette,,,,
701,"Such a seeming, To seel her father's eyes up close as oak- He thought 'twas witchcraft",appearance,concealment,familial,anatomy,nature,mental_faculty__state__entities,mystical
702,You'll see your Rome embraced with fire before You'll speak with Coriolanus.,sensations,politics,affection,fire,language,,
703,"both Which Scales were replenisht with the choise of his Wear, And the more liberally to shew his nature, He gaue every woman in the roome her handfull.  ",weight,economics,social_relations,character_traits__nature,women,spatial,anatomy
704,"That Lions free breathe, foraging for prey  [So our soft French Nobles]",animals,social_relations,breathing,hunting__fishing,politics,,
705,below your sister's orb Infect the air! ,spatial,familial,astrology,medicine,nature,,
706,"[tears] Slyde ore the flowry medowes that the Nimphs Dancing in fairy rings upon the grasse, May leave their sport, and weepe to see you passe,",anatomy,nature,myth,joviality,emotions,sensations,movement
707,"his large fortune Upon his good and gracious nature hanging, Subdues and properties to his love and tendance All sorts of hearts",economics,character_traits__nature,adhesion,social_relations,emotions,anatomy,
708,The Rosy Garden of these amourous cheeks,nature,emotions,anatomy,,,,
709,let ill tidings tell Themselves when they be felt.,language,sensations,,,,,
710,The Father Held open warre with Sinne;,familial,military,religion,,,,
711,"That breath of pleasure that entrances soules, Making that instant happinesse a heauen, In the true taste of loves deliciousnesse.",breathing,sexuality,religion,time,emotions,food,
712,In the behauiour of his noble daughter Castabella a man may read her worth and your instruction.,etiquette,familial,men,language,economics,education,
713,"O you weed, Who art so lovely fair and smell'st so sweet That the sense aches at thee",architecture,appearance,sensations,suffering,,,
714,"This morning, like the spirit of a youth That means to be of note, begins betimes.",time,character_traits__nature,LIFE'S CYCLE,recognition,,,
715,I should fear those that dance before me now Would one day stamp upon me,emotions,joviality,time,violence,,,
716,"untouched let him lie, As something sacred fallen out of the sky",sensations,religion,physical_activities,nature,,,
717,quick as the waters,speed,nature,,,,,
718,"Fly,Â Ioue,Â lou'dÂ NemesisÂ and at Iustice feet Shake your triumphall Ash",animals,emotions,myth,judiciary,anatomy,death,
719,Betrayed? a slave to sin?,politics,social_status,religion,,,,
720,"You common cry of curs! whose breath I hate As reek o' the rotten fens, ",sounds,animals,breathing,emotions,sensations,consumption,nature
721,"there is mettle in death, which commits some loving act upon her, she has such a celerity in dying.",character_traits__nature,death,emotions,sexuality,speed,,
722,the death of Antony Is not a single doom; in the name lay A moiety of the world.,death,destruction,language,quantities,nature,,
723,"[Nature] fils it [the work], or leaues it emptie Of strength, or vertue, error or cleere truth;",nature,quantities,labor,privation,physical_attributes,ethics,mental_faculty__state__entities
724,Let not the virtue of the world suspect SadÂ MassinissasÂ faith,resistance,ethics,politics,mental_faculty__state__entities,emotions,religion,
725,"Dost you not see my baby [snake] at my breast, That sucks the nurse asleep [death]?",sensations,LIFE'S CYCLE,animals,anatomy,food,sleep,death
726,"this our religious league, Shall be caru'd firme in characters of brasse, And liue for euer to succeeding times.",religion,politics,art,language,materials,life,time
727,your husbands blood bids me beware,matrimony,anatomy,commands,danger__safety,,,
728,seeking means To pluck away their power,discovering,politics,violence,social_relations,,,
729,"thus tempting the just gods, And spitting out their fair premonishing flames With brackish rheums of ruder and brain-sick number,",social_relations,religion,derision__offense___contempt,judiciary,fire,anatomy,medicine
730,"he whose pious breath seeks to convert you, Be strong in whore, allure him, burn him up;",religion,breathing,transformation,sexuality,fire,,
731,"[weak men] Who mixe their blood with wine, and out of that Adulterate coniunction do beget A bastard valour.",character_traits__nature,adhesion,anatomy,food,sexuality,reproduction,familial
732,"a womans cha?pion, and shall vnhorse thee else.",women,social_relations,equestrian,,,,
733,High events [death] as these Strike those that make them; and their story is No less in pity than his glory which Brought them to be lamented. ,death,violence,language,emotions,recognition,,
734,It is a business of some heat,labor,temperature,,,,,
735,"For his darke words have tied my thoughts on knots Till he dissolue, and free them.",darkness,language,clothes,mental_faculty__state__entities,consumption,social_relations,
736,in extreamety to die resolved Preserving state and reputation: Is said to die within the bed of honour,death,mental_faculty__state__entities,preservation,social_status,recognition,language,domestic
737,you are too sure an augurer; That you did fear is done.,mental_faculty__state__entities,mystical,emotions,,,,
738,"no more I hear the mournful songs, the tragic pomp of his sad exequies,",sensations,emotions,music,theatre,death,,
739,"[Fair gracious Angel of eternal light,] Hailing my spirit to that triumphant throne, Of endless comfort I adore your grace.",religion,light,greetings,politics,time,feelings,recognition
740,"that the Masters eie is from his charge,",social_status,anatomy,labor,,,,
741,"I cannot bleed too fast, too much For that so great, so just so royallÂ Carthage",injuries,speed,quantities,ethics,politics,,
742,"when the means are gone that buy this praise, The breath is gone whereof this praise is made",economics,privation,recognition,breathing,,,
743,"live to be the show and gaze o' the time: We'll have thee, as our rarer monsters are, Painted on a pole, and underwrit, 'Here may you see the tyrant.'",life,theatre,time,deformities__disabilities,art,language,politics
744,"though she's [daughter] as like this [kindness] as a crab's like an apple, ",familial,character_traits__nature,animals,food,,,
745,The crows and choughs that wing the midway air Show scarce so gross as beetles,animals,movement,nature,spatial,appearance,size,
746,The riches of the ship is come on shore!,economics,nautical,geography,women,,,
747,we are peremptory to dispatch This viperous traitor,judiciary,privation,animals,politics,,,
748,"[If your warme blood] Desires withÂ NyleÂ to rise aboue her bankes, And vent in pleasure on the neighbouring plaines;",temperature,anatomy,emotions,geography,spatial,nature,sexuality
749,"Coal-blackÂ Libians,Â shall manure the ground In your defence with bleeding hearts of men.",fire,colors,ethnicity__nationality,architecture,military,injuries,anatomy
750,"is it not great, to turn griefs thus to joys, That break the hearts of others?",character_traits__nature,emotions,violence,anatomy,,,
751,take rest From the pure burning coals of true contrition.,sleep,fire,materials,religion,,,
752,"Exile and Punishment for such base poets, And stripes with wiery scourges were too litle.",politics,judiciary,art,violence,,,
753,"I had rather liue an obscure black, then appeare a faire white to be shot at, ",life,social_relations,ethnicity__nationality,appearance,hunting__fishing,colors,
754,As if some vexed spirit Had got his form vpon him.,emotions,religion,appearance,,,,
755,"As flies to wanton boys, are we to the gods. They kill us for their sport.",animals,joviality,LIFE'S CYCLE,religion,violence,games__sports,
756,"as I sacrifice this to his Ghost, With this expire all corrupt thoughts of youth,",religion,death,hindrance,ethics,mental_faculty__state__entities,LIFE'S CYCLE,
757,"Let all men lose, so I increase my gaine, I have no feeling of anothers paine.",privation,quantities,economics,feelings,suffering,,
758,"you have opened my dull eies, I see you; And would be glad to see the good you speake of:",discovering,anatomy,sensations,feelings,ethics,language,
759,I mock at death With as big heart as thou. ,derision__offense___contempt,death,anatomy,size,,,
760,Cold-hearted toward me?,temperature,anatomy,social_relations,,,,
761,"if you wert the fox, the lion would suspect thee, when peradventure you wert accused by the ass",animals,mental_faculty__state__entities,judiciary,,,,
762,ever shroude Those ioyfull bonfires in a mourning cloude.,concealment,emotions,fire,nature,,,
763,"their spirits shrunk up like their covetous fists, And never opened but Domitian-like",politics,concealment,size,economics,anatomy,historical,
764,"preseru'd her [nature] in her prime , No enuie, no disiunction had dissolu'd,",preservation,women,nature,emotions,social_relations,consumption,
765,[a vow not to vncase my selfe to any of that sexe.] you grounded your oath upon the vncleanes of your shirt.,language,clothes,women,architecture,cleaning,,
766,"As fromÂ PhaegieanÂ fields the King of Gods, With conquering spoils andÂ TropheusÂ proud returnd, When greatÂ TypheusÂ fell by thundering darts, And rode away with their Celestial troops,",geography,politics,religion,military,economics,myth,nature
767,"Their [ladies] tongues, as short and nimble as their heels, Uttering words sweet and thick",women,anatomy,physical_attributes,language,sensations,speed,
768,avoid The vapour's furies now byÂ JoveÂ employd.,danger__safety,nature,emotions,myth,,,
769,"Thou, nature, art my goddess; to your law My services are bound.",nature,religion,judiciary,deception,incarceration,,
770,Were it not for gold and women there would be no damnation; Hell would look like a lordÂÂs great kitchen without fire in it.,economics,women,religion,social_status,food,fire,
771,Tis a good headlesse resolution.,anatomy,mental_faculty__state__entities,,,,,
772,Soldiers should brook as little wrongs as gods.,military,suffering,ethics,religion,,,
773,"This guest of summer, The temple-haunting martlet, ",social_relations,nature,religion,accommodation,animals,,
774,"look more miserable than one of the wicked Elders pictured in the painted cloth,",appearance,suffering,ethics,LIFE'S CYCLE,art,clothes,
775,"Begot when your fathers face was toward th'East, To shew that you would'st proue a Caterpiller:",reproduction,familial,anatomy,geography,judiciary,animals,
776,"to regard The safety, which you saw me running from, When with some hote pursute I pressed hard My foes abrode; to perish thus at home?",danger__safety,temperature,social_relations,military,geography,death,domestic
777,I may be of A nature so vnpleasing to your minde; Perhaps you'l curse the fatall houre wherein You rashly marryed me.,character_traits__nature,feelings,mental_faculty__state__entities,language,death,time,matrimony
778,"pouertie and Leacherie which is your end, rot thee, where ere you goest",economics,sexuality,destruction,consumption,movement,,
779,To do the act that might the addition [whore] earn Not the world's mass of vanity could make me.,sexuality,economics,nature,quantities,character_traits__nature,,
780,being dead my joys are dead with thee:,death,emotions,,,,,
781,"Passion of death! Were not the King heere,  he should strow the Chamber like a rush.",emotions,death,politics,domestic,nature,,
782,"Despite your victor sword and fire-new fortune, Thy valour and your heart,",resistance,military,weapons__armor,fire,social_status,character_traits__nature,anatomy
783,"She foolish-chaste sent back, the messengers Receiving frowns for answers.",mental_faculty__state__entities,sexuality,commands,social_status,facial_expressions,language,
784,"make the wars alike against my stomach,",military,anatomy,,,,,
785,Can such stormes grow and yet no clouds appeare? - Yea court stormes grow when skies there seeme most cleare,nature,appearance,politics,,,,
786,"Would it not grieue thee, that a Stranger to your bloud, should lay the first foundation of his house upon the ruines of your family?",emotions,social_relations,anatomy,architecture,destruction,familial,
787,A man may see how this world goes with no eyes. ,sensations,politics,movement,privation,anatomy,,
788,Heaven keep that monster [jealousy] from Othello's mind!,religion,military,deformities__disabilities,emotions,mental_faculty__state__entities,,
789,sick thoughts Foster a greedy longingÂ ,medicine,mental_faculty__state__entities,food,economics,emotions,,
790,If any such be here--As it were sin to doubt--that love this painting Wherein you see me smear'd;,religion,mental_faculty__state__entities,emotions,art,sensations,,
791,"purchase honor by a glorious death,",economics,recognition,death,,,,
792,"Hell take their hearts, that this ill deed haue done",religion,anatomy,ethics,violence,,,
793,"that sincerity, we Politicians Must say, grows out of envy",character_traits__nature,politics,language,nature,emotions,,
794,"ByÂ that hot stigmatist, Now bedded with the ItalianÂ Vitraillist, Which in the fieryÂ PhlegethonÂ flames, Did work strange vitrial dildidoes for Dames",temperature,etiquette,sexuality,ethnicity__nationality,labor,fire,myth
795,"pouring war Into the bowels of ungrateful Rome, Like a bold flood o'er-bear it.",nature,military,anatomy,recognition,politics,violence,
796,the line stretch out to the crack of doom,spatial,nature,religion,,,,
797,Hold up ye broken organs of my soul ,preservation,injuries,anatomy,religion,,,
798,"AsÂ Lucius Catalline Romes terror did forÂ Orestilla,Â killed My child",historical,emotions,violence,familial,,,
799,behold A sight would sad the Gods? make Phaebus cold.,sensations,emotions,religion,myth,temperature,,
800,"My body is as weake as water,",anatomy,physical_attributes,nature,,,,
801,"When I have pluck'd the rose, I cannot give it vital growth again. It must needs wither: I'll smell it on the tree. ",violence,nature,life,consumption,sensations,,
802,"Cassandra's prophecy had no more profit With Troy's blind Citizens, when she foretold Troy's ruin, which succeeding, made her yse This sacred Inclamation",myth,mystical,economics,deformities__disabilities,politics,destruction,religion
803,Infected be the air whereon they [witches] ride;,medicine,nature,mystical,equestrian,,,
804,Needs must that [the work of nature] sweep away the silly cobweb Of our still-vndone labours;,nature,labor,cleaning,animals,,,
805,[let us cease to boast] since Caesar's glory them exceedes as farre As shiningÂ PhebeÂ doth the dimmest starre.,recognition,spatial,light,myth,astrology,language,privation
806,"the red pestilence strike all trades in Rome, And occupations perish!",medicine,violence,labor,politics,destruction,,
807,[Servants] All broken implements of a ruin'd house.,social_status,destruction,architecture,,,,
808,"[Night] Enuying that Day should force her doffe her roabes, ",darkness,emotions,time,women,violence,clothes,
809,"Interpret every new face he makes, Looke how he wrings like a good stoole for a teare,",mental_faculty__state__entities,facial_expressions,sensations,physical_activities,anatomy,,
810,"Our boyling phantasies Like troubled waters falsifie the shapes Of things retain'd in them; and make' em seeme Confounded, when they are distinguish'd,",temperature,mental_faculty__state__entities,suffering,nature,deception,preservation,appearance
811,The five best senses Acknowledge thee their patron and come freely To gratulate your plenteous bosom,quantities,sensations,recognition,economics,social_relations,greetings,anatomy
812,you had then left unseen a wonderful piece of work; which not to have been blest withal would have discredited your travel.,privation,sensations,art,religion,mental_faculty__state__entities,geography,
813,"Fier and steel, Fury and night hold all:",fire,weapons__armor,emotions,darkness,politics,,
814,"Hee buried me aliue, and mued me up likeÂ Cretan Dedalus, ",death,life,incarceration,myth,,,
815,"When extreame cold has stroke it to her [earth's] heart, The more it is comprest, the more it rageth; ",temperature,violence,women,nature,anatomy,emotions,
816,"you parlee with a woman, Whose heart is obstinate, whose hands are freeble",language,women,anatomy,character_traits__nature,physical_attributes,,
817,"this flock of drunkards,",animals,food,,,,,
