Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
Most hard it is for great harts to mistrust.,HINDRANCE,ANATOMY,SOCIAL RELATIONS,,,,
I was not born so small to doubt or feare.,REPRODUCTION,SIZE,MENTAL FACULTY,EMOTIONS,,,
"my eares are steele, I must not heare your much inticing voice.",ANATOMY,MATERIALS,SENSATIONS,SEXUALITY,SOUNDS,,
"go with as high a hand As worth can reare,",MOVEMENT,SPATIAL,ANATOMY,ETHICS,,,
"vent your youthfull heate In field, not beds,",LIFE'S CYCLE,TEMPERATURE,MILITARY,SEXUALITY,,,
the fruite of honor Fame,AGRICULTURE,CHARACTER TRAITS,RECOGNITION,,,,
Thinke every honor that doth grace your sword Trebbles my loue:,MENTAL FACULTY,RECOGNITION,WEAPONS & ARMOR,QUANTITIES,EMOTIONS,,
"best lights of heaven with thee, Like wonder stand, or fall",LIGHT,RELIGION,PRESERVATION,DEATH,,,
"Nature made all the rest of your faire sex As weake essaies, to make thee a patterne Of what can be in woman.",NATURE,WOMEN,PHYSICAL ATTRIBUTES,ART,ETHICS,,
"Hees sure vnconquer'd in whom you dost dwell, Carthage Palladium.",MILITARY,ACCOMMODATION,POLITICS,,,,
"that glorious lampe Whose lifefull presence giueth suddaine flight To phansies, togs, feares, sleepe, ",LIGHT,LIFE,APPEARANCE,MOVEMENT,MENTAL FACULTY,EMOTIONS,SLEEP
[that glorious lampe … giveth suddaine flight] slothfull night - Spreads day upon the world:,LIGHT,MOVEMENT,CHARACTER TRAITS,DARKNESS,SPATIAL,NATURE,
Fame got with loss of breath is godlike gaine.,RECOGNITION,PRIVATION,BREATHING,RELIGION,,,
"Memory forsake Gelosso, ",MENTAL FACULTY,PRIVATION,,,,,
When Carthage is So infinitely vile,POLITICS,SPATIAL,ETHICS,,,,
"rotte first, wither in aged shame!",CONSUMPTION,NATURE,LIFE'S CYCLE,ETIQUETTE,,,
"A suddeine weaknes into Scipios armes, by drawing such a limb from the maine body Of his yet powerfull armie",PHYSICAL ATTRIBUTES,PRIVATION,ANATOMY,MILITARY,,,
"prosperous successe giues blackest actions glory, The means are vnremembred in most story.",SOCIAL RELATIONS,COLORS,ETHICS,RECOGNITION,MENTAL FACULTY,LANGUAGE,
"Conquest by blood is not so sweet as wit,",MILITARY,ANATOMY,FOOD,MENTAL FACULTY,,,
"Haue her an Engineere long bred for plots, Cal'd an impoisner, ",MILITARY,EDUCATION,DECEPTION,VIOLENCE,,,
"The onely dew that makes men sprout in Courtes, is vse,",NATURE,MEN,AGRICULTURE,POLITICS,CONSUMPTION,,
"Such slaues must act commands, and not dispute.",SOCIAL STATUS,COMMANDS,RESISTANCE,,,,
"speake low tho heaven beares A face far from vs, Gods have most long eares, ",LANGUAGE,RELIGION,ANATOMY,SIZE,SPATIAL,,
Ioue has a hundred marble marble hands,RELIGION,QUANTITIES,MATERIALS,ANATOMY,,,
"O I, in Poetry or Tragique sceane. -I feare Gods onely know what Poets mean.",ART,THEATRE,EMOTIONS,RELIGION,LANGUAGE,MENTAL FACULTY,
"in sauing nations State shapes are solderd vp, with base, nay faulty Yet necessary functions;",PRESERVATION,POLITICS,APPEARANCE,ADHESION,CHARACTER TRAITS,DECEPTION,
"some must lie, Some must betray, some murder, and some all, Each has strong vse, as poyson in all purges",LANGUAGE,POLITICS,VIOLENCE,MEDICINE,,,
Princes ascribe that vile necessity Vnto Heauens wrath,POLITICS,MENTAL FACULTY,ETHICS,RELIGION,EMOTIONS,,
"Beware to offend greate men and let them live For tis of empires body the mayne arme,",DANGER & SAFETY,DERISION,SOCIAL STATUS,LIFE,POLITICS,ANATOMY,
Although a stagelike passion & weake heate Full of an empty wording might sute age Know Ile speake strongly truth,THEATRE,EMOTIONS,TEMPERATURE,SPATIAL,LANGUAGE,ETIQUETTE,LIFE'S CYCLE
"If treachery in state be seruiceable, Let hangmen do it:",POLITICS,DEVOTION,DEATH,,,,
"Our vow, our faith, our oath, why th'are our selves",LANGUAGE,RELIGION,CHARACTER TRAITS,,,,
"The Gods assist just hearts, & states that trust,",RELIGION,ASSISTANCE,ETHICS,ANATOMY,POLITICS,SOCIAL RELATIONS,
Plots before Prouidence are tost like dust.,DECEPTION,RELIGION,VIOLENCE,MATERIALS,,,
"Ingratitude, Vile staine of man,  O over be most far From Massinissas breast: ",RECOGNITION,ETHICS,CLEANING,SPATIAL,ANATOMY,,
"Fame got with loss of breath, is godlike gaine.",RECOGNITION,PRIVATION,BREATHING,RELIGION,,,
fair plot: what? blush to breake it?,DECEPTION,FACIAL EXPRESSIONS,VIOLENCE,,,,
"Your heads still vnder Heauen, ",ANATOMY,SPATIAL,RELIGION,,,,
O very Angel!,WOMEN,RELIGION,,,,,
"Speach makes us men, ",LANGUAGE,HUMANITY,,,,,
"and thers no other bond Twixt man and man, but words:",SOCIAL RELATIONS,MEN,LANGUAGE,,,,
wee shall hate faith-breakers worse then man-eaters,EMOTIONS,RELIGION,VIOLENCE,FOOD,,,
good Gelosso is your breath not here?,BREATHING,PRIVATION,,,,,
Excellent man Carthage & Rome shall fall Before your fame:,CHARACTER TRAITS,POLITICS,SOCIAL RELATIONS,RECOGNITION,,,
"The air and earth of Carthage owes my body, It is their seruant;",NATURE,POLITICS,ECONOMICS,ANATOMY,SOCIAL STATUS,,
show your vgliest brow O most blacke chaunce: make me a wretched story,DISCOVERING,APPEARANCE,ANATOMY,COLORS,LUCK,SUFFERING,LANGUAGE
Opposed trees makes tempests show their power,RESISTANCE,NATURE,APPEARANCE,PHYSICAL ATTRIBUTES,,,
And waues forc'd back by rocks maks Neptune tower Tearelesse,NATURE,VIOLENCE,MYTH,SPATIAL,EMOTIONS,,
"let nature run crosse legd Ops go upon your head, ",NATURE,PHYSICAL ATTRIBUTES,SPATIAL,ANATOMY,,,
"let Neptune burne, Cold Saturne cracke with heate for now the world, Hath seene a Woman:",MYTH,FIRE,TEMPERATURE,VIOLENCE,NATURE,SENSATIONS,WOMEN
"Leape nimble lightning from Ioues ample shield And make at length, an end, ",PHYSICAL ATTRIBUTES,NATURE,MYTH,WEAPONS & ARMOR,DEATH,,
"the proud hot breath Of thee [Jove] contemning Greatnesse,",CHARACTER TRAITS,TEMPERATURE,BREATHING,MYTH,DERISION,SOCIAL STATUS,
the huge drought Of sole selfe louing vast Ambition.,SIZE,NATURE,EMOTIONS,CHARACTER TRAITS,,,
Th'vnnaturall scorching heate of all those lamps Thou reard'st to yeeld a temperate fruitful heat,NATURE,FIRE,TEMPERATURE,LIGHT,SPATIAL,,
Relentlesse rage whose hart has no one drop Of humane pittie,EMOTIONS,ANATOMY,QUANTITIES,HUMANITY,,,
"all all loudly cry Thy brand O Ioue, for know the world is dry!",SOUNDS,FIRE,RELIGION,MENTAL FACULTY,NATURE,CONSUMPTION,
When worlds do burne vnseens a Citties flame.,NATURE,FIRE,APPEARANCE,URBAN,,,
"I cannot bleed too fast, too much For that so great, so just so royall Carthage",INJURIES,SPEED,QUANTITIES,ETHICS,POLITICS,,
"My wound smarts not, blouds loss maks me not faint For that lou'de Citty,",INJURIES,ANATOMY,PRIVATION,PHYSICAL ATTRIBUTES,EMOTIONS,URBAN,
"How good that Carthage is: it nourishde me, And when full time gaue me fit strength for loue,",POLITICS,FOOD,TIME,PHYSICAL ATTRIBUTES,EMOTIONS,,
"Know I am Carthage very creature,",POLITICS,REPRODUCTION,,,,,
Some common weales may let a noble hart To forward bleeds abroad,POLITICS,CHARACTER TRAITS,ANATOMY,INJURIES,SPATIAL,,
my harts not pale:,ANATOMY,MEDICINE,,,,,
"We bleed for Carthage, Balsum to my woundes,",INJURIES,POLITICS,MEDICINE,,,,
"A modest temperance is the life of armes,",CHARACTER TRAITS,LIFE,MILITARY,,,,
"That nothing can secure us but your blood: Infuse it in his wound, t'will worke amaine,",PRIVATION,DANGER & SAFETY,ANATOMY,MEDICINE,INJURIES,,
your God must be your gain;,RELIGION,ECONOMICS,,,,,
a statist must not be a man.,POLITICS,MEN,,,,,
"The God-like part of Kings is to forgiue,",RELIGION,POLITICS,JUDICIARY,,,,
"Speake, speake, let terror strike slaues mute.",LANGUAGE,EMOTIONS,VIOLENCE,SOCIAL STATUS,DEFORMITIES,,
"Much danger makes great hartes most resolute,",DANGER & SAFETY,CHARACTER TRAITS,ANATOMY,MENTAL FACULTY,,,
Vnworthy wounds Betray not Massinissa.,INJURIES,POLITICS,,,,,
now all my flesh is steele.,ANATOMY,WEAPONS & ARMOR,,,,,
High lights scorne not to vew A true old man:,SPATIAL,LIGHT,DERISION,SENSATIONS,LIFE'S CYCLE,,
"Spare treacherie, and strike the very Gods.",PRIVATION,POLITICS,VIOLENCE,RELIGION,,,
"I am full Of much complaint, and many passions, The least of which expresd would sad the Gods And strike compassion in most ruthlesse hell",SPATIAL,LANGUAGE,EMOTIONS,RELIGION,VIOLENCE,,
"Vp, vnmaimd hart, spend all your greefe and rage Vpon your foe",SPATIAL,INJURIES,ANATOMY,ECONOMICS,EMOTIONS,SOCIAL RELATIONS,
the field's a soldiers stage On which his action shows: ,MILITARY,THEATRE,,,,,
"Downe man, up hart,",SPATIAL,MILITARY,ANATOMY,,,,
"stoup Ioue and bend your chin To your large brest, giue signe th'art pleasd, and just",SOCIAL RELATIONS,MYTH,SIZE,ANATOMY,FEELINGS,JUDICIARY,
"Sweare, good mens foreheads must not print the dust",LANGUAGE,ETHICS,ANATOMY,MATERIALS,,,
"were it my daughters life That fate has song to Carthage safetie brings, What deed so red but has beene done by Kings?",FAMILIAL,LIFE,MYSTICAL,MUSIC,POLITICS,DANGER & SAFETY,COLORS
"he thats a man for men, Ambitious as a God, must like a God Liue cleare from passions,",MEN,CHARACTER TRAITS,RELIGION,CLEANING,EMOTIONS,,
"Round in's own globe, not to bee claps'd but holds Within him all,",SPATIAL,NATURE,ADHESION,PRESERVATION,,,
"his hart being of more foldes Then sheeld of Telamon, not to be peirced tho struck",ANATOMY,SPATIAL,WEAPONS & ARMOR,MYTH,VIOLENCE,,
"The God of wisemen is themselues, not lucke.",RECOGNITION,MENTAL FACULTY,LUCK,,,,
"It is not don, my heart sunke in my breast,",HINDRANCE,ANATOMY,DESTRUCTION,,,,
"His virtue mazd me,",NATURE,MENTAL FACULTY,,,,,
Some Gods in Kinges that will not let them fall.,RELIGION,POLITICS,RESISTANCE,DEATH,,,
"Thart that just man that has true touch of blood,",ETHICS,SENSATIONS,ANATOMY,,,,
wee did it but to trye What sense you hadst of blood:,PHYSICAL ATTRIBUTES,SENSATIONS,ANATOMY,,,,
the slave has all betraide.,SOCIAL STATUS,SOCIAL RELATIONS,,,,,
"Who thinketh to buy villany with golde, Shall ever find such faith so bought so solde.",MENTAL FACULTY,ECONOMICS,ETHICS,DISCOVERING,RELIGION,,
"O ye powers forgiue, Through rottenst dung best plants both sprout & live By blood vines grow.",RELIGION,ETHICS,CONSUMPTION,CLEANING,ANATOMY,NATURE,LIFE
"Tis fit at least you beare greefes outward showe, It is your kinsman bleedes:  Your hand is in his wounds",ETIQUETTE,EMOTIONS,APPEARANCE,FAMILIAL,ANATOMY,INJURIES,
"For how so ere a Monarke faines his partes, Steale anie thing from Kinges but subiects hartes.",POLITICS,DECEPTION,ECONOMICS,ANATOMY,,,
Short wordes shall speake long woes:,SIZE,LANGUAGE,EMOTIONS,,,,
"Then looke, as when a Falcon towrs aloft Whole shoales of foule and flocks of lesser birdes, Crouch fearefully and diue some among sedge, Some crepein brakes: ",APPEARANCE,ANIMALS,SPATIAL,PHYSICAL ACTIVITIES,QUANTITIES,EMOTIONS,NATURE
"[as when a Falcon towrs aloft] so Massinissas sword Brandisht aloft, tossd'bout his shining cask, Made stoope whole squadrons,",ANIMALS,PHYSICAL ACTIVITIES,WEAPONS & ARMOR,SPATIAL,LIGHT,SOCIAL RELATIONS,MILITARY
"quick as thought he strikes,",SPEED,MENTAL FACULTY,VIOLENCE,,,,
The curse of womens wordes go vvith you:,MYSTICAL,WOMEN,LANGUAGE,SOCIAL RELATIONS,,,
"More shame, T'out live your virtue and your once great name.",ETIQUETTE,LIFE,ETHICS,LANGUAGE,,,
"To be a prosperous villane yet some heate some hold But to burne temples and yet freese, O cold,",ETHICS,TEMPERATURE,FIRE,RELIGION,,,
"Giue me some health, now your blood sinkes",MEDICINE,ANATOMY,CONSUMPTION,,,,
"thus deedes Ill nourisht rot, ",ETHICS,FOOD,CONSUMPTION,,,,
"Know Syphax has no knees, his eyes no teares,",ANATOMY,CHARACTER TRAITS,,,,,
"rest calme as sleepe, Els at this quake,",SLEEP,EMOTIONS,,,,,
"off with your loathed armes That lye more heavy on me then the chaines, That wear deepe wrinckles in the captiues limbes",PRIVATION,EMOTIONS,ANATOMY,WEIGHT,INCARCERATION,CLOTHES,
"Be but a beast,",TRANSFORMATION,ANIMALS,,,,,
yeelde to him To whome fate yeeldes,SOCIAL RELATIONS,POLITICS,MYSTICAL,,,,
my strong blood boiles.,PHYSICAL ATTRIBUTES,ANATOMY,TEMPERATURE,,,,
"All appetite is deafe,",FOOD,DEFORMITIES,,,,,
Achilles armour could not beare out lust.,MYTH,WEAPONS & ARMOR,SUFFERING,SEXUALITY,,,
Loues strongest arme's not rude:,EMOTIONS,PHYSICAL ATTRIBUTES,WEAPONS & ARMOR,ETIQUETTE,,,
clip him that through blood And hell acquir's his Wish,VIOLENCE,ANATOMY,RELIGION,ECONOMICS,EMOTIONS,,
The florish fore loves fight is Venus blisse.,NATURE,EMOTIONS,VIOLENCE,MYTH,,,
"As I do wish to live I long to inioy, Your warme imbrace,",LIFE,EMOTIONS,SEXUALITY,TEMPERATURE,,,
"To faithfull care Kinges bounty has no shore,",DEVOTION,FEELINGS,POLITICS,ETHICS,NATURE,,
"tis no staine, The God of seruice is howeuer gaine.",CLEANING,RELIGION,DEVOTION,ECONOMICS,,,
Nature at home beginnes;,CHARACTER TRAITS,DOMESTIC,,,,,
"O steddye powers Keepe him as safe as heaven keepes the earth, Which lookes upon it with a thousand eyes,",PRESERVATION,DANGER & SAFETY,RELIGION,NATURE,SENSATIONS,QUANTITIES,ANATOMY
His most just heart ,ETHICS,ANATOMY,,,,,
such a virtue as the Gods might enuy,ETHICS,RELIGION,EMOTIONS,,,,
such slaues once trust Whet swords to make your own blood lick the dust.,SOCIAL STATUS,SOCIAL RELATIONS,WEAPONS & ARMOR,ANATOMY,FOOD,NATURE,
I not invoake your arme you God of sound,LANGUAGE,WEAPONS & ARMOR,RELIGION,SOUNDS,,,
"O brightest femall of the sky, Thrice modest Phoebe, ",LIGHT,WOMEN,NATURE,QUANTITIES,CHARACTER TRAITS,MYTH,
you [Phoebe] that iointly fit A worthy chastity and a most chast witte,MYTH,ADHESION,SEXUALITY,MENTAL FACULTY,,,
To you  corruptles Hunny and pure dewe Vpbreathes our holy fier.,MYTH,CLEANING,FOOD,NATURE,BREATHING,FIRE,RELIGION
"if drops of withered eyes Bee not your sport, bee iust:",CONSUMPTION,ANATOMY,JOVIALITY,JUDICIARY,,,
all that I crave Is but chast life or an vntainted graue.,EMOTIONS,SEXUALITY,LIFE,CLEANING,DEATH,,
"yet has my constant toung Let fall no weakenes, tho'my heart were wrung VVith pangus worth hell",CHARACTER TRAITS,ANATOMY,PHYSICAL ATTRIBUTES,VIOLENCE,RELIGION,,
great thoghts stop our tears,MENTAL FACULTY,HINDRANCE,ANATOMY,,,,
"Sorrowe vnseene, vnpittied inward wears.",EMOTIONS,APPEARANCE,SPATIAL,CONSUMPTION,,,
"Cannot heauen, virtue, against weake chance defend?",RELIGION,ETHICS,MILITARY,PHYSICAL ATTRIBUTES,LUCK,,
VVere it as deep as thoght off it should thus [He drinks],SPATIAL,MENTAL FACULTY,FOOD,,,,
My safety with that draught.,DANGER & SAFETY,FOOD,,,,,
"Close the vaults mouth least we do slip in drinke,",SPATIAL,ARCHITECTURE,ANATOMY,FOOD,,,
"there lye Syphax bride, a naked man is soone vndrest;",MATRIMONY,CLOTHES,,,,,
Straight for the King: I flye VVhere misery shall see nought but it selfe.,POLITICS,ANIMALS,SUFFERING,SENSATIONS,PRIVATION,,
my breath Scornes to craue life,BREATHING,DERISION,EMOTIONS,LIFE,,,
"O silence you dost swallow pleasure right,",SOUNDS,FOOD,SEXUALITY,,,,
Wordes take avvay some sense from our delight;,LANGUAGE,PRIVATION,SENSATIONS,SEXUALITY,,,
"be proud my Uenus,",CHARACTER TRAITS,MYTH,,,,,
"Mercury your tong,",MYTH,ANATOMY,,,,,
"Cupid your flame, ",MYTH,FIRE,,,,,
"O Hercules, Let not your back be wanting",MYTH,RESISTANCE,ANATOMY,PRIVATION,,,
for now I leape To catch the fruite none but the Gods should reap,PHYSICAL ACTIVITIES,FOOD,RELIGION,AGRICULTURE,,,
can any woman turn to such a Diuell?,WOMEN,RELIGION,,,,,
"Sleepe, there your lasting sleep, Improuident, base, o're-thirsty slaue.",SLEEP,TIME,MENTAL FACULTY,FOOD,SOCIAL STATUS,,
a kings couch is your too proud graue.,POLITICS,DOMESTIC,CHARACTER TRAITS,DEATH,,,
"I'le vse this Zanthia, And trust her as our dogs drink dangerous Nile, only for thirst, the Flie the Crocodile:",SOCIAL RELATIONS,ANIMALS,FOOD,DANGER & SAFETY,GEOGRAPHY,,
"Without much hindrance, pleasure has no hart;",HINDRANCE,SEXUALITY,ANATOMY,,,,
Seauen waled Babell cannot bear out lust,QUANTITIES,URBAN,RELIGION,MILITARY,SEXUALITY,,
Let not the virtue of the world suspect Sad Massinissas faith,RESISTANCE,ETHICS,POLITICS,MENTAL FACULTY,EMOTIONS,RELIGION,
"Carthage first gaue me life, […] hir air first lent me breath",POLITICS,REPRODUCTION,NATURE,ECONOMICS,BREATHING,,
"It is a happy being, breath well fam'd, For which Ioue sees these thus; ",EMOTIONS,BREATHING,RECOGNITION,MYTH,SENSATIONS,,
"be not foold With piety to place: tradition's feare, A just mans contry Ioue makes every where.",MENTAL FACULTY,RELIGION,SPATIAL,SOCIAL RELATIONS,ETHICS,EMOTIONS,POLITICS
"A Citie so ingrate, so faithlesse, so more vile Then ciuill speach may name,",URBAN,RECOGNITION,RELIGION,ETHICS,POLITICS,LANGUAGE,
such vice To scourge is heavens most gratefull sacrifice.,ETHICS,VIOLENCE,RELIGION,RECOGNITION,,,
barborousnes itselfe may well blush at them,ETHICS,FACIAL EXPRESSIONS,,,,,
"statue, not man!",ART,MEN,,,,,
your freind Gelosso (man worth Gods),SOCIAL RELATIONS,MEN,ECONOMICS,RELIGION,,,
"he that can weepe, Greeues not, like me, priuate deepe inward drops Of bloud: my heart",EMOTIONS,SPATIAL,ANATOMY,,,,
"Thy face makes Massinissa more then man,",ANATOMY,TRANSFORMATION,QUANTITIES,MEN,,,
here before your steddy power a vow As firme as fate I make,SOCIAL RELATIONS,LANGUAGE,PHYSICAL ATTRIBUTES,MYSTICAL,,,
I have given Of passion and of faith my heart.,EMOTIONS,RELIGION,ANATOMY,,,,
"Greefe fits weake hearts,",EMOTIONS,ETIQUETTE,PHYSICAL ATTRIBUTES,ANATOMY,,,
"Libea has poyson, aspes, kniues, & too much earth To make one graue,",POLITICS,VIOLENCE,ANIMALS,WEAPONS & ARMOR,GEOGRAPHY,DEATH,
"And yet she is no god. -And yet she's more,",WOMEN,RELIGION,QUANTITIES,,,,
for their [Gods] constant goodnesse (Which is necessited) they haue a crowne Of neuer ending pleasures:,RELIGION,ETHICS,POLITICS,TIME,SEXUALITY,,
but faint man (Framd to have his weaknes made the heavens glory),MEDICINE,DECEPTION,CHARACTER TRAITS,RELIGION,RECOGNITION,,
"If he with steddy vertue holdes all seidge [That power, that speach, that pleasure, that full sweets] A world of greatnes can assaile him with,",ETHICS,MILITARY,LANGUAGE,SEXUALITY,SOCIAL STATUS,NATURE,VIOLENCE
"Hauing no pay but selfe wept miserie, And beggars treasure heapt,",ECONOMICS,EMOTIONS,SUFFERING,,,,
"You toucht a string to which my sense was quick,",SENSATIONS,CLOTHES,MENTAL FACULTY,SPEED,,,
my greefe Would make a Saint blaspheme,EMOTIONS,RELIGION,LANGUAGE,,,,
"such woes Ioues ribs would burst,",EMOTIONS,RELIGION,ANATOMY,VIOLENCE,,,
can once vnwind His tangled sense from out so vilde amaze,HUNTING & FISHING,SENSATIONS,ETHICS,MENTAL FACULTY,,,
Fall we like suddeine lightning fore his eyes;,DEATH,NATURE,ANATOMY,,,,
shall this arme Once make him feele his sin?,ANATOMY,SENSATIONS,RELIGION,,,,
"Iustice is so huge odds That he who with it feares, Heauen must renounce In his creation.",JUDICIARY,QUANTITIES,EMOTIONS,RELIGION,PRIVATION,,
"Before the morne shall shake cold dewes through skyes, Syphax shall tremble at Romes thicke allarmes.",TIME,NATURE,TEMPERATURE,EMOTIONS,POLITICS,MILITARY,
"Yee powres, I challenge conquest to just armes.",MILITARY,RESISTANCE,JUDICIARY,,,,
"the huge longe vaultes close vaine, What dumps it breathd? ",SIZE,NATURE,SPATIAL,CLEANING,BREATHING,,
"Loues winges so justly heaue The body vp, that as our toes shall trip Ouer the tender and obedient grasse, Scarse any drop of dew is dasht to ground.",EMOTIONS,ANIMALS,PHYSICAL ACTIVITIES,ANATOMY,SPATIAL,NATURE,VIOLENCE
And see the willing shade of friendly night Makes safe our instant haste,SENSATIONS,ASSISTANCE,DARKNESS,SOCIAL RELATIONS,DANGER & SAFETY,SPEED,
"How all be numd's my sense, Chaunce has so often struck I scarce ca?„ feele",SENSATIONS,LUCK,VIOLENCE,,,,
stampe the patient earth,VIOLENCE,CHARACTER TRAITS,NATURE,,,,
"cleaue my streachd cheeks with sound, speake from all sense, But loud and full of players eloquence",VIOLENCE,ANATOMY,SOUNDS,LANGUAGE,THEATRE,,
"O happinesse, Of those that know not pride or lust of citty,",EMOTIONS,MENTAL FACULTY,CHARACTER TRAITS,SEXUALITY,URBAN,,
"You liue, that know not death before you die,",LIFE,MENTAL FACULTY,DEATH,,,,
"thing of false lip,",LANGUAGE,ANATOMY,,,,,
"despight your vertue, know I'le thredd your richest pearle",ETHICS,VIOLENCE,CLOTHES,ECONOMICS,,,
"this forrests deafe, As is my lust:",NATURE,DEFORMITIES,SEXUALITY,,,,
"Night and the God of scilence, Swels my full pleasures",DARKNESS,RELIGION,SOUNDS,REPRODUCTION,SEXUALITY,,
"Queene of our youthfull bed be proud,",POLITICS,LIFE'S CYCLE,SEXUALITY,CHARACTER TRAITS,,,
"this good steele, Shall set my soul on wing.",WEAPONS & ARMOR,RELIGION,ANIMALS,,,,
"Without resistance, your trunke prostitute, Vnto our appetite.",PRIVATION,RESISTANCE,ANATOMY,SEXUALITY,FOOD,,
"Womans forced vse, Like vnripe fruites, no sooner got but waste, They have proportion, colour but no taste,",WOMEN,SEXUALITY,FOOD,CONSUMPTION,SIZE,COLORS,
"the heaven of your bed,",RELIGION,SEXUALITY,,,,,
"when two foes are growne friends, Partakers bleed.  -When Plants must florish Their manure must rot.",SOCIAL RELATIONS,INJURIES,NATURE,CONSUMPTION,,,
A wasting flame feedes on my amorous blood Which wee must coole or dye,CONSUMPTION,FIRE,FOOD,EMOTIONS,ANATOMY,TEMPERATURE,DEATH
"Infernall Ioue, You resolute Angels that delight in flames, To you all wonder working spirites I flie ",FIRE,MYTH,RELIGION,SENSATIONS,ANIMALS,,
"Since heaven helpes not, deepest hell weele trie.",RELIGION,ASSISTANCE,SPATIAL,,,,
"A heavy hell-like palenes loades hir cheekes, Vnknowne to a cleare heaven",WEIGHT,RELIGION,MEDICINE,LABOR,ANATOMY,MENTAL FACULTY,
but if darke windes Or thick black cloudes drive back the blinded stars,DARKNESS,NATURE,COLORS,DANGER & SAFETY,CONCEALMENT,ASTROLOGY,
"To her first sound, the Gods yeeld any harme, As trembling once to heare a second charme,",SOUNDS,RELIGION,VIOLENCE,EMOTIONS,SENSATIONS,MYSTICAL,
"the beastes of death,",ANIMALS,DEATH,,,,,
"the King of flames grows pale,",POLITICS,FIRE,MEDICINE,,,,
"my breathe's: ""You [the gods] must"".",BREATHING,RELIGION,,,,,
"mother of all high Misterious science,",FAMILIAL,MYSTICAL,MENTAL FACULTY,,,,
"our loue, hard by the reuerent ruines Of a once glorious temple rearde to Joue,",EMOTIONS,PHYSICAL ATTRIBUTES,DESTRUCTION,RELIGION,ARCHITECTURE,,
"Whose [the temple's] very rubbish (like the pittied fall, Of Vertue much vnfortunate) yet beares, A deathlesse Maiesty",DESTRUCTION,RELIGION,ETHICS,EMOTIONS,PRESERVATION,DEATH,
" there the daw and crow, The ill voic'de Rauen, and still chattering Pie: Send out vngratefull sound, and loathsome filth,",ANIMALS,ETHICS,SOUNDS,RECOGNITION,CLEANING,,
"Boyes with blacke coales, draw the vaild parts of nature, And leacherous actions of imaginde lust,",LIFE'S CYCLE,COLORS,MATERIALS,PHYSICAL ACTIVITIES,NATURE,SEXUALITY,MENTAL FACULTY
"There once a Charnel house, now a vast caue, Ouer whose brow a pale and vntrod groue Throwes out her heavy shade,",DEATH,NATURE,ANATOMY,MOVEMENT,WEIGHT,DARKNESS,WOMEN
"the mouth thick, armes Of darksom Ewe, (Sun proofe) for ever choake",ANATOMY,PHYSICAL ATTRIBUTES,DARKNESS,COLORS,NATURE,TIME,VIOLENCE
"Within rests barren darknesse, ",SPATIAL,REPRODUCTION,DARKNESS,,,,
[Within] fruitlesse drought Pines in eternal Night,SPATIAL,NATURE,CONSUMPTION,TIME,DARKNESS,,
The steame of Hell Yeeldes not so lasie ayre:,FIRE,RELIGION,CHARACTER TRAITS,NATURE,,,
Loue is the highest rebell to our art.,EMOTIONS,SPATIAL,SOCIAL UNREST,ART,,,
at length shalls joy Hopes more desired then Heauen?,EMOTIONS,RELIGION,,,,,
"Sweet laboring Earth Let Heauen be vnform'd with mighty charmes,",LABOR,NATURE,RELIGION,DESTRUCTION,MYSTICAL,,
Jove weele not enuie thee:,RELIGION,EMOTIONS,,,,,
Bloud's appetite Is Syphax God:,ANATOMY,FOOD,RELIGION,,,,
now rise infernall tones The depe fetch'd grones Of laboring spirits that attend Erichtho.,MYSTICAL,RELIGION,SOUNDS,SPATIAL,LABOR,SOCIAL RELATIONS,
Now cracke the trembling earth and send Shreekes that portend Affrightment to the Gods which heare Erichtho.,VIOLENCE,EMOTIONS,NATURE,SOUNDS,MYSTICAL,RELIGION,SENSATIONS
now softer melody strikes mute Disquiet nature,MUSIC,VIOLENCE,DEFORMITIES,FEELINGS,CHARACTER TRAITS,,
O you power of sound How you dost melt me. ,SOUNDS,CONSUMPTION,,,,,
euen Heauen Giues up his soul amongst us,RELIGION,PRIVATION,,,,,
Prepare my appetite for loves strict gripes,MENTAL FACULTY,FOOD,EMOTIONS,ADHESION,SEXUALITY,,
O you dear founts of pleasure Bloud and Beauty Rayse actiue venus worth fruition Of such prouoking sweetnesse.,NATURE,SEXUALITY,ANATOMY,APPEARANCE,PHYSICAL ACTIVITIES,MYTH,SENSATIONS
Now Hell and Heauen ringes With Musique spight of Phoebus,RELIGION,MUSIC,MYTH,,,,
Fury of blouds impatient,EMOTIONS,ANATOMY,CHARACTER TRAITS,,,,
"Erichtho, Boue thunder sit;",MYSTICAL,SPATIAL,NATURE,PHYSICAL ACTIVITIES,,,
"Sophonisba, your flame But equall mine, and weele ioy such delight That Gods shall not admire, but euen spight.",FIRE,QUANTITIES,EMOTIONS,SEXUALITY,RELIGION,RECOGNITION,
Thou rotten scum of Hell,CONSUMPTION,SOCIAL STATUS,RELIGION,NATURE,,,
O my abhorred heat!,EMOTIONS,TEMPERATURE,,,,,
could your weake soul imagin That t'is within the graspe of Heauen or Hell To inforce loue?,PHYSICAL ATTRIBUTES,RELIGION,MENTAL FACULTY,SPATIAL,ADHESION,VIOLENCE,EMOTIONS
"Loue doates the Fates, ",EMOTIONS,MENTAL FACULTY,MYSTICAL,,,,
